Timestamp	Role(s) with the kubernetes project.	I have been involved with Kubernetes for	Activities within the Kubernetes Community	I have a clear understanding of where the Kubernetes project is going.	Over the last year, my enthusiasm for the Kubernetes project has increased	Different opinions are valued and listened to in the community	If I could change one thing about the project direction it would be:	I feel welcomed in the Kubernetes community	My contributions are valued by the Kubernetes community	My biggest challenge getting involved in the community is:	I understand how project decisions are made	I understand how I can/should participate in the Kubernetes community	What community process needs the most work?	I am able to be a productive Kubernetes developer	What change to the Kubernetes development process would significantly improve your productivity?	I am able to successfully manage applications using Kubernetes	What change to Kubernetes application management would significantly improve your productivity?	I use a managed Kubernetes solution (Google Container Engine, Azure Container Service, CoreOS Tectonic, etc)	I am able to effectively manage my Kubernetes cluster	What change to Kubernetes cluster operations would most significantly improve your ability to manage a cluster?		Anything else you'd like to tell us?
2/17/2017 0:51:35	I am a Kubernetes developer	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	3	6		6	6		2	6		1	PR reviews take too long. They get assigned to people who don't do reviews, I must ping them and/or find another reviewer. It's slow and painful process.			No				
2/17/2017 2:12:52	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	7	7	A focus on defining specifications for more ThirdPartyResources / bringing them into core. e.g. Defining what a PostgresDatabase resource might look like, so people can develop multiple competing implementations for the same common spec	7	7	Figuring out how to shepherd a proposal through	7	7	Time to review pull requests	7	Better pre-build checks for environment, so it doesn't just break halfway through because you're missing a dependency, with a cryptic error	7	helm needs to be usable via a resource in the API, instead of needing to use the helm client	No	7	Bringing checkpointing into the kubelet core		
2/17/2017 2:19:37	I am a Kubernetes user	< 1 year	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	5	4		5	5		6	6		6		6		No	5			
2/17/2017 3:55:53	I am a Kubernetes product manager	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	5		6	4		5	5	Better communication of process changes with realistic timelines for implementation.	5		6		No	5			
2/17/2017 4:54:53	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	7	7	-	7	7	-	7	7	-	7	-	7	-	Yes	7	-		-
2/17/2017 6:47:40	I am a Kubernetes user, I am a Kubernetes developer	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	4	7	Plan features to completion before introducing an alpha version	7	7	Amount of time required to stay current in all relevant components and sigs	5	7	Communication routing, making sure the right people see the right issues/discussions/designs	7	More cleanly separated components	5	better reporting of status/problems back up through the causal object chain	No	4			
2/17/2017 7:22:18	I am a Kubernetes developer	< 1 year	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	7		7	7		6	6		5	Being able to compile the server with 12gb of ram :)	6		No	6			
2/17/2017 8:01:23	I am a Kubernetes developer	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	4	5	5	Simplify the "features" process. It's way too cumbersome.	7	7		4	7	The features process	7	Faster compilation times	4		No				
2/17/2017 8:42:04	I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have filed or commented on an issue, I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	3	5	4	to reduce the amount of process in each release. SIGs and the incubator have become very bloated, for example.	6	6	The "bikeshedding" - the amount of back-and-forth discussion that hinders progress and doesn't add value.	2	5	The SIG process.	3	Make build times faster...	6	This area is really nice. No changes right now.	Yes	6			
2/17/2017 9:04:54	I am a Kubernetes community supporter	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	6	Shorter name ;). 	6	6	I don't know enough	6	6		3	I need to be a better programmer 	6	More ability to manage the cluster	Yes	3	The tools are complex and difficult to use		
2/17/2017 9:58:23	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	< 1 year	I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	5	6	more concrete convergence on how to use monitoring & metrics with services and pods, or clear insights in how to use the APIs with K8S as a layer to provide CI/CD automation and self-healing/self-scaling controls.	6	5	Time and size - the community is huge, hard to get involved with the plethora of SIGS, or to even pick what would help me/community the most.	3	3	It's getting excellent attention, but the coordination process between SIGs and how that relates to usable/consumable features is still quite shaky	3	I find it extrodinarily difficult to know how to set up an effective development environment and validate that my dev changes are effective - end to end tests are complex, many default unit tests fail but it seems expected - getting a proper environment set up isn't obvious.	3	operators could be helping, but it's not clear to me yet. I want to run clustered persistence on containers (cassandra, mongodb) - but how to set up, run those clusters, upgrade over time and keep services running - let alone scale the mongo or cassandra cluster is really opaque and I'm not sure I can do it yet with what's available.	No	5	I've just been PoC setups so far, but how to integrate Heapster, Prometheus, Grafana, etc - for effective monitoring is available, but hard to know what's useful to set up and no clear tasks for doing it with a local bare-metal K8S environment. Networking choices up front equally freaky and complex - or horrifically slow with the overlays		I like the project, I like the community, I think this has a tremendous amount of potential, and I'm very interested in continuing to build to help use k8s and improve it for others to use.
2/17/2017 10:12:04	I am a Kubernetes developer	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	4	6		6	5		6	6		6	more face-to-face with distributed devs	4		No	3	fewer, clearer, cluster setup options.		
2/17/2017 10:17:34	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	6	Better community organization / tooling. Right now we are getting big (that is good) and our structure and tooling should reflect it. I wonder if google docs and slack calls will cut it much longer.	7	7	My time	6	6	See note earlier on structure/tooling	7		6		No	6	Standardized deployment tool (cough cough kops)		Thanks for everything! I love Kubernetes! Best OSS community ever!
2/17/2017 10:27:20	I am a Kubernetes developer	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	3	3	We need more decision makers that are not based around being good at "process" e.g. council of elders	7	7		3	5	We need "arbitration".... too many things turn into battles of attrition	5	A technical "council of elders", perhaps earlier guidance from "elders" around the direction to go in rather than PRs that have to "guess" and then query the oracles	6	Some form of templating in kubectl	Yes	7	More people contributing to kops		
2/17/2017 11:54:05	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	5		7	7	Complicated codebase without good developer docs, but received amazing guidance from maintainers always!	5	6		6		6		No	5			
2/17/2017 14:21:32	I am a Kubernetes developer	< 1 year	I have reviewed a pull request (PR), I have submitted a pull request (PR)	5	4	5		7	6	the complexity and fast-changing nature of the project	5	6		3	Fewer different ways to do things; more development standardization across SIGs; faster ways to smoketest/test	5		No	5			I've only been on the project for two weeks, so treat my commentary accordingly.
2/17/2017 14:31:56	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	2	1	4	coherent product roadmap spanning all SIGs	2	2	getting response and feedback from gatekeepers	1	1	asynchronous communication	1	well defined and documented processes	4	we're missing several features, but I could work around that if had a product roadmap	Yes	6	meaningful cloud object names (e.g. load balancers, firewall rules) rather than hashed values		
2/17/2017 16:41:47	I am a Kubernetes SRE/Operator	1 - 2 years		5	4	4		4	4		2	2		4		5		Yes	5			
2/17/2017 17:03:22	I am a Kubernetes SRE/Operator, I am a Kubernetes user	1 - 2 years	I have filed or commented on an issue	1	4	7	Focus on clear and usable APIs instead of kubectl and plethora of features	5	2	Figuring out who the decider is, and waiting for briangrant review	1	3		1	Clarify your interfaces, and stop using Gogo	3	I need to get feedback for my API calls. e.g. when creating a deployment, figuring out whether it succeeds is too hard.	Yes	2	GKE needs a CRUD-compatible Update call. Right now, Update is a collection of single-field updates		
2/18/2017 9:56:06	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	3	6	4		6	6		3	3		5		6		No	5			
2/18/2017 14:01:06	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	5	5		6	5		7	7		2		7		No	7			
2/18/2017 14:08:52	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have filed or commented on an issue, I have reviewed a pull request (PR)	6	7	4		6	5		4	4		3	Complexity is increasing and docs/solutions aren't always up to date. 	5		Yes	6			
2/18/2017 14:17:12	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	7	6		6	6		4	3		4		6		Yes	3			
2/18/2017 14:19:48	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc	5	7	7		7	6	Windows Server support	4	5		5		6	Windows Server and Azure support	Yes	6			
2/18/2017 14:23:24	I am a Kubernetes user	1 - 2 years		5	7	7	Provide more turn-key solutions (like letsencrypt, Vault-ish integration)	5	4	Slack channels felt too fast-paced, too much volume. A Discourse forum could help newbies.	4	4		4		7	More turn-key integrations (letsencrypt, Vault)	Yes	7	GKE is awesome. No complaints.		Kubernetes is awesome. I'm not DevOps by training, but Kubernetes has enabled me to launch and operate projects for my organization that I don't think I'd be able to otherwise.
2/18/2017 14:24:45	I am a Kubernetes SRE/Operator, I am a Kubernetes product manager	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	4	Easier setup 	5	4	Steep learning curve / barrier to entry. 	4	4		5		5	Simpler interface for application rollout and upgrades	Yes	2	Clear guidelines on how to upgrade, backup and restore the cluster. Node provisioning through K8s yaml wound be nice too		
2/18/2017 14:29:09	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc	6	7	6		6			6	6				5		No	4	Improve kubeadm for on premise Installation and maintenance		
2/18/2017 14:31:12	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	6		7	6		5	5		5		6		No	6			
2/18/2017 14:31:13	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	6		7	6		5	5		5		6		No	6			
2/18/2017 14:44:25	I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	5	5	5	Support for more hardware (GPU etc)	5	3	Feeling overwhelmed, not clear if patch will be accepted	1	1	Clear acceptance guidelines/process.	4								
2/18/2017 14:52:55	I am a Kubernetes user, I am a Kubernetes community supporter	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	7	Clearer communication about where various initiatives and alpha features are in acceptance and development.	7	7	The different SIGs communicate in different ways: some email, some Slack, some github issues, some conference calls.  It's often hard to figure out how to participate in some Sigs.	7	7	See previous answers.	5	Tools/process are not the problem.  The main obstacle is being able to figure out what the status is of proposed patches, features in development, etc. are without reading a whole ton of slack backscroll and github issues and PRs.  .	6	More StatefulSet support!  Yeah, I know, we're working on it.  Also: real Secrets support (plug-in) and Union Configmap.	Yes	7			Speaking as someone involved in a dozen or so different OSS communities, the Kubernetes community is really healthy and open.  Yes, there's always improvements to be made, but the Kube community is doing really, really well.  How's our diversity stats?  Haven't looked at that.
2/18/2017 15:02:35	I am a Kubernetes SRE/Operator	1 - 2 years		7	7	7		7	7		4	7				6		No	7			
2/18/2017 15:08:17	I am a Kubernetes developer relations or evangelism	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	7	More focus on container techs tuned to specific workloads (Singularity, HPC, etc)	7	7	Not for me particularly, but it's very hard for new code contributors to get started	6	6		4	Again, difficult for folks to start from zero.	7		Yes	7			
2/18/2017 15:29:50	I am a Kubernetes user	2 - 3 years	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	6	4		6	6		6	6		5		7		No	5			
2/18/2017 15:47:36	I am a Kubernetes user, I am a Kubernetes community supporter	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	6	to provide more tutorials and trainings	7	7		4	5	collaboration	6	improve persistent storage	5	native helm support	No	5			to become a CNCF member shall become more affordable for startups
2/18/2017 15:50:21	I am a Kubernetes developer relations or evangelism	> 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	6	Have features move from beta to GA quicker. Many important and stable things stopped at beta.	6	5		6	6						Yes				
2/18/2017 15:58:22	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	6	6		5	5		2	2		4		6		No	5			
2/18/2017 16:26:19	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes community supporter	< 1 year	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	6	documentation	5	4	my personal time	5	5		5		5		Yes	5	monitoring and documentation		
2/18/2017 16:39:48	I am a Kubernetes SRE/Operator	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	5	3		5	5		4	6		2		6		No	6			
2/18/2017 17:04:35	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	4	Focus on fewer changes, but make faster progress	7	6	It is daunting to get PRs through due to checklist items and delays in reviews	3	6	Acceptance of proposals—including a commitment to make them come to fruition	3	Cut up the repository so that fewer build steps are required for each change	7	Allow use of Docker logging drivers like fluentd	No	6	Ease the initial chicken/egg problems of running the API server and DNS add-ons with multiple replica		Don't let some other project come along and steal your thunder because it moves more quickly (meaning rolling out new features).
2/18/2017 17:04:38	I am a Kubernetes user	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc	4	7	4		5	4		4	4		4		7		Yes	2			
2/18/2017 17:48:12	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	5		5	5		3	4		4	Actively tagging good first PR's	5	Integrations with CI's	Yes	4			
2/18/2017 17:55:39	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes product manager	< 1 year	I have filed or commented on an issue	6	6	7					6	5	Support all cloud providers	6		6		Yes	6	Preserving source IP from client		
2/18/2017 18:27:28	I am a Kubernetes SRE/Operator	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	6	5	I wish there was stronger emphasis on security and compliance. Would love to see guidelines for HIPPA, pci, etc. 	7	7		5	5		3		7		No	7			
2/18/2017 18:53:56	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	7	4	SSL endpoints and end user auth needs more documentation	4	4	Not feeling I know enough to help	1	3		1	Not currently hacking on it	6		No	5	Notifications about node scheduling issues		Awesome work. Love k8s
2/18/2017 19:04:47	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	5	7	6	Greater focus on security and stability	7	6	Not enough time	6	6		6	Better documentation	6	Better security and stability	No	6	Continued work on Kops		Thanks for this project - it's been incredibly useful.
2/18/2017 19:31:20	I am a Kubernetes developer	> 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	5		6	5		3	6		6		7		No	5			
2/18/2017 21:15:23	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	5	5	5	More emphasis on documentation. 	5	5		4	6		5		6		No	6			
2/18/2017 21:34:25	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	5		4	4		2	3		4		5		No	5			
2/18/2017 21:43:19	I am a Kubernetes SRE/Operator, I am a Kubernetes user	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	5	Kubedns	7	4		5	7		7		7	Config map deployment	No	6	Network		
2/18/2017 21:44:47	I am a Kubernetes developer	1 - 2 years	I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	4		6	5		5	5		4		6		No	6			
2/18/2017 22:02:30	I am a Kubernetes SRE/Operator, I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc	5	6	5		5	5		3	4		5		6		Yes	5			
2/18/2017 23:15:45	I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR)	6	6	5	More networks for a pod	4	4		4	6		3		6	More networks for a pod	No	6			Thank you for Kubernetes!
2/18/2017 23:19:40	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	5	5		5	6		3	4		5		6		No	6			
2/19/2017 0:25:01	I am a Kubernetes user	1 - 2 years		7	7			7			4	6				7		No	7			
2/19/2017 1:05:58	I am a Kubernetes user, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	6	Get to 100% rkt Support. Ensure attach and logs work.	7	6	A lot of content to see throw, that could be interresting.	4	3	Tutorials to get my colleges and friends up to speed.	6	I need to learn go.	7	I can't think of anything.	No	7	Better ACL. Better secrets. No need for a local loadbalancer (on every node) to access the apiserver from a kubelet or kube-proxy.		Great work.
2/19/2017 1:11:08	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	4		6				4				7		Yes	3			
2/19/2017 1:45:21	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes community supporter	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	5	4	Take it out of CNCF	6	4	Shielding the community off sales pitches at Meetups	3	5	Documentation.	4	I would start with a decent stable k8s client.	6		Yes	6	Cluster Lifecycle management.		
2/19/2017 2:22:23	I am a Kubernetes community supporter	1 - 2 years	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	6	4		7	4		5	2		5		4		No	4			
2/19/2017 2:49:15	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	5		7	6		5	7				6	Production ready DB deployments	No	6	Better documentation of small details		
2/19/2017 3:09:30	I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	5	7	7		6	6	Timely review of PR	4	5		6		7		No	6			
2/19/2017 3:37:43	I am a Kubernetes SRE/Operator, I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	5	Refactoring 	6	5	Complicated developer docs	5	4		2	PR Reviews are slow and process seems to be complicated   	6	"Kubectl init deployment" could generate template based deployment manifests, which we can configure ourselves 	No	3	Faster cluster autoscaler maybe with 10% free capacity and tools to inspect kubernetes networks is required. It would be nice to have a general end to end test that can be easily extended and executed for our needs 		Thanks for the great project 
2/19/2017 3:39:32	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc	4	7	4		4	4	Solving issues	4	6		1		6	Mixing Windows and Linux containers on the same cluster and forget the physical layer	Yes	6	Cluster management via Web console so my technicians are not afraid about condole		Great work and thank you very much for your ideas.
2/19/2017 3:43:53	I am a Kubernetes SRE/Operator	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc	4	5	5		3	4	Complicated, unsure where & how	2	2		4		6		No	6	Self-hosted k8s		
2/19/2017 4:47:34	I am a Kubernetes SRE/Operator	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	6	5		7	6			6		5	There are a lot of repos and missing documentation for developers. Even using the library for kuberentes in Go can be really challenging. There's a lot that can be done to help developers join this amazing project.	7		No	6	More docs! There are a lot of non well documented functionalities for HA setups that can work in enterprise environments or other cloud providers (AWS) that are not well documented. 		
2/19/2017 6:12:42	I am a Kubernetes SRE/Operator	1 - 2 years	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	2	6	4		6	4	Not enough propose yo help on tricky/spécifications stuff on slack & co	2	2		6		6	Richer ingress spec. Serveur side pod templating. 	No	5	Forward compatibility. Kops completed. 		
2/19/2017 7:36:09																						
2/19/2017 7:36:41																						
2/19/2017 7:36:41																						
2/19/2017 7:36:55																						
2/19/2017 7:37:55																						
2/19/2017 7:37:59																						
2/19/2017 7:54:11																						
2/19/2017 8:12:16	I am a Kubernetes SRE/Operator	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	6	6		6	6		6	6		4		6	Audit logging	No	5	Additional metrics on disk utilization		
2/19/2017 8:31:13	I am a Kubernetes user	< 1 year	I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	3	5	4	Easier descriptors, better documentation and examples	6	4		4	6		1	Easier descriptors, better documentation and examples 	3	Easier descriptors 	Yes	4			
2/19/2017 8:39:58																						
2/19/2017 9:01:55	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	3	5	6	Better roadmap planning & discussions 	6	6	The high threshold for being able to contribute 	3	5		2	Smoother onboarding / coaching / guiding contributions 	6	-	No	6			
2/19/2017 10:20:24	I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	2	6	4	Get a better understanding of the project direction	7	6	Information, and project velocity with bugs and PRs 	3	7	Communication at a large scale	6	Tagging issues and PRs	7	Not certain	Yes	7			
2/19/2017 10:56:51	I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	6	6		5	5	Understanding the other people involved and how decisions are made	2	3	Easier to understand how to suggest ideas 	4	Interactive tutorials on the different aspects, like with go playground			No	5			
2/19/2017 12:39:07	I am a Kubernetes user	< 1 year	I have submitted a pull request (PR)	3	6	6		4	4		4	4		5		5		No	4			
2/19/2017 14:00:30	I am a Kubernetes user, I am a Kubernetes community supporter	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	5	6	5	Easier cluster maintenance outside of GCE	5	5		4	6		5		6		Yes	6			Thanks for the great tool
